Site;parnr;Lupin.NoLupin;Species;Occ
Enköping;1;Lupin;Trifolium hybridum;1
Enköping;1;Lupin;Trifolium medium;12
Enköping;1;Lupin;Veronica chamaedrys;7
Enköping;1;NoLupin;Achillea millefolium;6
Enköping;1;NoLupin;Galium boreale;2
Enköping;1;NoLupin;Galium verum;3
Enköping;1;NoLupin;Lupinus polyphyllus;1
Enköping;1;NoLupin;Trifolium medium;16
Enköping;2;Lupin;Acer platanoides;1
Enköping;2;Lupin;Galium boreale;8
Enköping;2;Lupin;Galium verum;3
Enköping;2;Lupin;Gallium mollugo;4
Enköping;2;Lupin;Geum rivale;1
Enköping;2;Lupin;Lathyrus pratensis;2
Enköping;2;Lupin;Lupinus polyphyllus;16
Enköping;2;Lupin;Ranunculus acris subsp. acris;1
Enköping;2;Lupin;Trifolium medium;3
Enköping;2;Lupin;Vicia cracca;1
Enköping;2;NoLupin;Achillea millefolium;7
Enköping;2;NoLupin;Fragaria vesca;15
Enköping;2;NoLupin;Galium boreale;4
Enköping;2;NoLupin;Galium verum;4
Enköping;2;NoLupin;Gallium mollugo;9
Enköping;2;NoLupin;Knautia arvensis;1
Enköping;2;NoLupin;Lathyrus pratensis;2
Enköping;2;NoLupin;Lupinus polyphyllus;1
Enköping;2;NoLupin;Potentilla reptans;2
Enköping;2;NoLupin;Trifolium medium;16
Enköping;2;NoLupin;Vicia cracca;1
Flugbohöjden/Ettala;1;Lupin;Achillea millefolium;3
Flugbohöjden/Ettala;1;Lupin;Alopecurus pratensis;2
Flugbohöjden/Ettala;1;Lupin;Anthoxanthum odoratum agg.;2
Flugbohöjden/Ettala;1;Lupin;Argentina anserina;3
Flugbohöjden/Ettala;1;Lupin;Dactylis glomerata;2
Flugbohöjden/Ettala;1;Lupin;Festuca ovina;8
Flugbohöjden/Ettala;1;Lupin;Lupinus polyphyllus;16
Flugbohöjden/Ettala;1;Lupin;Poa pratensis;6
Flugbohöjden/Ettala;1;Lupin;Taraxacum;3
Flugbohöjden/Ettala;1;Lupin;Viola riviniana;1
Flugbohöjden/Ettala;1;NoLupin;Achillea millefolium;7
Flugbohöjden/Ettala;1;NoLupin;Alchemilla vulgaris;5
Flugbohöjden/Ettala;1;NoLupin;Anthoxanthum odoratum agg.;4
Flugbohöjden/Ettala;1;NoLupin;Argentina anserina;4
Flugbohöjden/Ettala;1;NoLupin;Calluna vulgaris;5
Flugbohöjden/Ettala;1;NoLupin;Campanula persicifolia;5
Flugbohöjden/Ettala;1;NoLupin;Carex pallescens;4
Flugbohöjden/Ettala;1;NoLupin;Cirsium palustre;1
Flugbohöjden/Ettala;1;NoLupin;Festuca ovina;5
Flugbohöjden/Ettala;1;NoLupin;Hieracium umbellatum;2
Flugbohöjden/Ettala;1;NoLupin;Lathyrus pratensis;15
Flugbohöjden/Ettala;1;NoLupin;Leucanthemum vulgare;12
Flugbohöjden/Ettala;1;NoLupin;Lotus corniculatus;2
Flugbohöjden/Ettala;1;NoLupin;Luzula multiflora;10
Flugbohöjden/Ettala;1;NoLupin;Lychnis flos-cuculi;5
Flugbohöjden/Ettala;1;NoLupin;Poa pratensis;9
Flugbohöjden/Ettala;1;NoLupin;Ranunculus acris subsp. acris;5
Flugbohöjden/Ettala;1;NoLupin;Rhinanthus minor;5
Flugbohöjden/Ettala;1;NoLupin;Taraxacum;2
Flugbohöjden/Ettala;1;NoLupin;Trifolium hybridum;8
Flugbohöjden/Ettala;1;NoLupin;Trifolium medium;4
Flugbohöjden/Ettala;1;NoLupin;Trifolium pratense;9
Flugbohöjden/Ettala;1;NoLupin;Trifolium repens;4
Flugbohöjden/Ettala;1;NoLupin;Trifolium spadiceum;5
Flugbohöjden/Ettala;1;NoLupin;Tussilago farfara;5
Flugbohöjden/Ettala;1;NoLupin;Veronica officinalis;1
Flugbohöjden/Ettala;2;Lupin;Alchemilla vulgaris;2
Flugbohöjden/Ettala;2;Lupin;Alopecurus pratensis;4
Flugbohöjden/Ettala;2;Lupin;Anthriscus sylvestris;2
Flugbohöjden/Ettala;2;Lupin;Festuca rubra;14
Flugbohöjden/Ettala;2;Lupin;Filipendula ulmaria;4
Flugbohöjden/Ettala;2;Lupin;Lupinus polyphyllus;16
Flugbohöjden/Ettala;2;Lupin;Picea abies;3
Flugbohöjden/Ettala;2;Lupin;Poa pratensis;14
Flugbohöjden/Ettala;2;Lupin;Ranunculus acris subsp. acris;4
Flugbohöjden/Ettala;2;Lupin;Taraxacum;4
Flugbohöjden/Ettala;2;Lupin;Trifolium pratense;5
Flugbohöjden/Ettala;2;NoLupin;Agrostis capillaris;3
Flugbohöjden/Ettala;2;NoLupin;Ajuga pyramidalis;1
Flugbohöjden/Ettala;2;NoLupin;Alchemilla vulgaris;9
Flugbohöjden/Ettala;2;NoLupin;Campanula rotundifolia;2
Flugbohöjden/Ettala;2;NoLupin;Carex pallescens;3
Flugbohöjden/Ettala;2;NoLupin;Centaurea sp.;2
Flugbohöjden/Ettala;2;NoLupin;Festuca rubra;12
Flugbohöjden/Ettala;2;NoLupin;Gallium mollugo;14
Flugbohöjden/Ettala;2;NoLupin;Lathyrus pratensis;9
